price_m2,price,m2,location
110544元/㎡,1800万,162.83㎡,"莱诗邸
徐家汇 南丹东路223弄"
64375元/㎡,309万,48㎡,"斜土路2200弄公房
徐家汇 斜土路2200弄公房"
64615元/㎡,420万,65㎡,"东安四村
徐家汇 宛平南路727弄"
108695元/㎡,1650万,151.8㎡,"亚都国际名园
徐家汇 南丹东路300弄"
91824元/㎡,1550万,168.8㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
57140元/㎡,723万,126.53㎡,"爱和大厦
徐家汇 零陵路629号"
100778元/㎡,1100万,109.15㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
97139元/㎡,1450万,149.27㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
102995元/㎡,1200万,116.51㎡,"亚都国际名园
徐家汇 南丹东路300弄"
62903元/㎡,370万,58.82㎡,"徐虹公寓
徐家汇 古宜路170弄、古宜路180弄"
73303元/㎡,810万,110.5㎡,"科乐苑
徐家汇 斜土路2084弄"
135760元/㎡,2088万,153.8㎡,"莱诗邸
徐家汇 南丹东路223弄"
63021元/㎡,385万,61.09㎡,"吴东小区
徐家汇 吴中东路500弄"
102995元/㎡,1200万,116.51㎡,"亚都国际名园
徐家汇 南丹东路300弄"
99556元/㎡,1100万,110.49㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
84274元/㎡,530万,62.89㎡,"中漕小区
徐家汇 中漕路20-28号"
86930元/㎡,878万,101㎡,"徐家汇花园
徐家汇 宛平南路255弄"
104081元/㎡,1150万,110.49㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
63446元/㎡,310万,48.86㎡,"谨斜小区
徐家汇 谨斜小区"
79481元/㎡,736万,92.6㎡,"南天大楼
徐家汇 天钥桥路191弄1-4号"
89660元/㎡,1390万,155.03㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
87841元/㎡,1200万,136.61㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
91501元/㎡,1250万,136.61㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
102145元/㎡,1500万,146.85㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
66868元/㎡,398万,59.52㎡,"斜土路2200弄公房
徐家汇 斜土路2200弄公房"
95722元/㎡,1450万,151.48㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
67693元/㎡,598万,88.34㎡,"红旗教师公寓
徐家汇 红旗教师公寓"
94679元/㎡,2180万,230.25㎡,"鑫国家园
徐家汇 零陵路777弄"
73750元/㎡,515万,69.83㎡,"上影公寓
徐家汇 斜土路2905号、斜土路2899号"
84179元/㎡,713万,84.7㎡,"徐家汇花园
徐家汇 宛平南路255弄"
117449元/㎡,3500万,298㎡,"莱诗邸
徐家汇 南丹东路223弄"
68725元/㎡,975.9万,142㎡,"金轩公寓
徐家汇 南丹东路228弄1-5号"
126616元/㎡,1850万,146.11㎡,"莱诗邸
徐家汇 南丹东路223弄"
55643元/㎡,808万,145.21㎡,"嘉汇广场
徐家汇 斜土路2601-2611号"
88279元/㎡,949万,107.5㎡,"番禺大楼
徐家汇 番禺路900号"
94230元/㎡,490万,52㎡,"徐虹北路28弄公房
徐家汇 徐虹北路28弄"
33788元/㎡,510万,150.94㎡,"嘉汇国际广场商住楼
徐家汇 天钥桥路325号"
116374元/㎡,1850万,158.97㎡,"莱诗邸
徐家汇 南丹东路223弄"
109698元/㎡,1700万,154.97㎡,"鑫国家园
徐家汇 零陵路777弄"
104084元/㎡,2100万,201.76㎡,"创世纪花园
徐家汇 零陵路789弄"
111713元/㎡,1690万,151.28㎡,"天际花园
徐家汇 南丹东路99弄1-22号"
106471元/㎡,1800万,169.06㎡,"莱诗邸
徐家汇 南丹东路223弄"
58275元/㎡,688万,118.06㎡,"四季园
徐家汇 东安路149弄1-8号"
75820元/㎡,508万,67㎡,"振兴小区
徐家汇 振兴小区"
72173元/㎡,512万,70.94㎡,"科汇公寓
徐家汇 天钥桥路69弄1-3号"
76148元/㎡,650万,85.36㎡,"漕溪大楼
徐家汇 漕溪大楼"
91574元/㎡,388万,42.37㎡,"斜土路1674弄小区
徐家汇 斜土路1674弄1-4号"
123496元/㎡,2280万,184.62㎡,"亚都国际名园
徐家汇 南丹东路300弄"
58868元/㎡,695万,118.06㎡,"四季园
徐家汇 东安路149弄1-8号"
76148元/㎡,650万,85.36㎡,"漕溪大楼
徐家汇 漕溪大楼"
