price_m2,price,m2,location
88971元/㎡,768万,86.32㎡,龙华 南宁路501弄
144924元/㎡,1462万,100.88㎡,龙华 徐汇东安路888号
71147元/㎡,579万,81.38㎡,龙华 丰谷路185弄1-27号
127503元/㎡,1560万,122.35㎡,龙华 徐汇东安路888号
60703元/㎡,245万,40.36㎡,龙华 漕溪四村50-78号
97180元/㎡,810万,83.35㎡,龙华 南宁路501弄
76786元/㎡,650万,84.65㎡,龙华 龙漕路58弄
78943元/㎡,520万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
54294元/㎡,550万,101.3㎡,龙华 漕溪路251弄
142414元/㎡,1700万,119.37㎡,龙华 徐汇东安路888号
68938元/㎡,350万,50.77㎡,龙华 龙水北路889弄1-8号
99901元/㎡,1010万,101.1㎡,龙华 南宁路501弄
66212元/㎡,360万,54.37㎡,龙华 三江路301弄
87390元/㎡,630万,72.09㎡,龙华 云锦路201弄1-42号
100022元/㎡,1330万,132.97㎡,龙华 三江路88弄
159463元/㎡,2830万,177.47㎡,龙华 宾阳路18弄、宾南路19弄
94161元/㎡,650万,69.03㎡,龙华 云锦路201弄1-42号
145007元/㎡,1850万,127.58㎡,龙华 云锦路183弄
82116元/㎡,950万,115.69㎡,龙华 南宁路501弄
66443元/㎡,238万,35.82㎡,龙华 龙华西路31弄1-51号
130973元/㎡,1680万,128.27㎡,龙华 云锦路183弄
54794元/㎡,200万,36.5㎡,龙华 上缝小区
92121元/㎡,1520万,165㎡,龙华 尚海湾豪庭
126951元/㎡,1220万,96.1㎡,龙华 云锦路183弄
100956元/㎡,960万,95.09㎡,龙华 三江路88弄
102988元/㎡,1020万,99.04㎡,龙华 龙华西路591弄
70521元/㎡,500万,70.9㎡,龙华 漕溪路125弄
76786元/㎡,650万,84.65㎡,龙华 龙漕路58弄
120294元/㎡,1620万,134.67㎡,龙华 尚海湾豪庭
49442元/㎡,350万,70.79㎡,龙华 老沪闵路150弄、老沪闵路160弄
63775元/㎡,225万,35.28㎡,龙华 龙华西路31弄1-51号
72902元/㎡,880万,120.71㎡,龙华 三江路301弄
68938元/㎡,350万,50.77㎡,龙华 龙水北路889弄1-8号
97448元/㎡,905万,92.87㎡,龙华 三江路88弄
142643元/㎡,4200万,294.44㎡,龙华 东安路800号
70876元/㎡,550万,77.6㎡,龙华 丰谷路260弄、丰谷路300弄
138225元/㎡,1650万,119.37㎡,龙华 尚海湾豪庭
128602元/㎡,1700万,132.19㎡,龙华 云锦路183弄
130236元/㎡,2450万,188.12㎡,龙华 云锦路183弄
77472元/㎡,510万,65.83㎡,龙华 云锦路50弄1-58号、云锦路80弄
58763元/㎡,230万,39.14㎡,龙华 上缝小区
144587元/㎡,4500万,311.23㎡,龙华 瑞宁路908弄
58390元/㎡,500万,85.63㎡,龙华 三江路301弄
84595元/㎡,525万,62.06㎡,龙华 龙漕路58弄
77730元/㎡,1000万,128.65㎡,龙华 宾阳路28弄
130973元/㎡,1680万,128.27㎡,龙华 云锦路183弄
97180元/㎡,810万,83.35㎡,龙华 南宁路501弄
98836元/㎡,1070万,108.26㎡,龙华 南宁路501弄
118525元/㎡,2000万,168.74㎡,龙华 云锦路183弄
54054元/㎡,800万,148㎡,龙华 漕溪路251弄
142414元/㎡,1700万,119.37㎡,龙华 徐汇东安路888号
126951元/㎡,1220万,96.1㎡,龙华 云锦路183弄
62428元/㎡,710万,113.73㎡,龙华 石龙路818弄
76666元/㎡,505万,65.87㎡,龙华 云锦路50弄1-58号、云锦路80弄
66212元/㎡,360万,54.37㎡,龙华 三江路301弄
