price_m2,price,m2,location
41562元,499万,120.06㎡,"寿益坊
康健 桂林西街85弄1-71号"
37324元,380万,101.81㎡,"师大新村
康健 师大新村"
42793元,299万,69.87㎡,"寿山坊
康健 桂林西街201弄"
45180元,375万,83㎡,"寿益坊
康健 桂林西街85弄1-71号"
43809元,299万,68.25㎡,"寿山坊
康健 桂林西街201弄"
45840元,359.8万,78.49㎡,"寿益坊
康健 桂林西街85弄1-71号"
45151元,298万,66㎡,"寿益坊
康健 桂林西街85弄1-71号"
51492元,345万,67㎡,"寿益坊
康健 桂林西街85弄1-71号"
44620元,355万,79.56㎡,"寿益坊
康健 桂林西街85弄1-71号"
50769元,330万,65㎡,"长虹坊
康健 桂林西街11弄"
48797元,345万,70.7㎡,"师大新村
康健 师大新村"
51428元,288万,56㎡,"师大新村
康健 师大新村"
40822元,270万,66.14㎡,"寿山坊
康健 桂林西街201弄"
42787元,299万,69.88㎡,"寿山坊
康健 桂林西街201弄"
37896元,480万,126.66㎡,"金桂苑
康健 虹漕南路99弄"
54791元,550万,100.38㎡,"市委党校家属区
康健 虹漕南路300弄"
46491元,320万,68.83㎡,"长虹坊
康健 桂林西街11弄"
45121元,185万,41㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
50133元,1499万,299㎡,"中星海上华庭
康健 虹漕南路699弄"
41406元,265万,64㎡,"花苑村紫竹园
康健 浦北路948弄"
75627元,1280万,169.25㎡,"中星海上华庭
康健 虹漕南路699弄"
39953元,205万,51.31㎡,"寿德坊
康健 桂林西街400弄"
49000元,196万,40㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
63946元,1080万,168.89㎡,"中星海上华庭
康健 虹漕南路699弄"
50000元,320万,64㎡,"花苑村杜鹃园
康健 钦州南路917弄"
62566元,825万,131.86㎡,"中星海上华庭
康健 虹漕南路699弄"
77991元,1320万,169.25㎡,"中星海上华庭
康健 虹漕南路699弄"
42346元,345万,81.47㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
63076元,820万,130㎡,"中星海上华庭
康健 虹漕南路699弄"
62365元,1160万,186㎡,"中星海上华庭
康健 虹漕南路699弄"
40262元,399万,99.1㎡,"金桂苑
康健 虹漕南路99弄"
41406元,265万,64㎡,"花苑村紫竹园
康健 浦北路948弄"
42346元,345万,81.47㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
62882元,698万,111㎡,"中星海上华庭
康健 虹漕南路699弄"
42391元,195万,46㎡,"花苑村紫竹园
康健 浦北路948弄"
42928元,180万,41.93㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
38507元,258万,67㎡,"杜鹃园
康健 钦州南路917弄"
63076元,820万,130㎡,"中星海上华庭
康健 虹漕南路699弄"
36526元,318万,87.06㎡,"花苑村紫竹园
康健 浦北路948弄"
50406元,620万,123㎡,"中星海上华庭
康健 虹漕南路699弄"
40652元,329万,80.93㎡,"花苑村紫竹园
康健 浦北路948弄"
40232元,270万,67.11㎡,"花苑村紫竹园
康健 浦北路948弄"
62980元,820万,130.2㎡,"中星海上华庭
康健 虹漕南路699弄"
38718元,388万,100.21㎡,"金桂苑
康健 虹漕南路99弄"
39747元,220万,55.35㎡,"桂平小区
康健 桂平小区"
40091元,350万,87.3㎡,"杜鹃园
康健 钦州南路917弄"
63053元,826万,131㎡,"中星海上华庭
康健 虹漕南路699弄"
36144元,210万,58.1㎡,"桂莘小区
康健 桂平路350弄"
62595元,820万,131㎡,"中星海上华庭
康健 虹漕南路699弄"
66926元,1030万,153.9㎡,"康沁苑
康健 冠生园路403弄1-12号"
51798元,720万,139㎡,"中星海上华庭
康健 虹漕南路699弄"
39555元,178万,45㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
49767元,428万,86㎡,"桂莘小区
康健 桂平路350弄"
43157元,410万,95㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
41735元,352万,84.34㎡,"杜鹃园
康健 钦州南路917弄"
62365元,1160万,186㎡,"中星海上华庭
康健 虹漕南路699弄"
44230元,230万,52㎡,"师大新村
康健 师大新村"
43750元,350万,80㎡,"寿山坊
康健 桂林西街201弄"
63946元,1080万,168.89㎡,"中星海上华庭
康健 虹漕南路699弄"
69426元,1090万,157㎡,"中星海上华庭
康健 虹漕南路699弄"
43069元,220万,51.08㎡,"桂莘小区
康健 桂平路350弄"
45783元,380万,83㎡,"桂莘小区
康健 桂平路350弄"
45918元,450万,98㎡,"桂莘小区
康健 桂平路350弄"
75627元,1280万,169.25㎡,"中星海上华庭
康健 虹漕南路699弄"
50000元,320万,64㎡,"花苑村杜鹃园
康健 钦州南路917弄"
42757元,410万,95.89㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
46938元,460万,98㎡,"桂莘小区
康健 桂平路350弄"
62566元,825万,131.86㎡,"中星海上华庭
康健 虹漕南路699弄"
45246元,188万,41.55㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
36107元,380万,105.24㎡,"师大新村
康健 师大新村"
44417元,360万,81.05㎡,"桂莘小区
康健 桂平路350弄"
49886元,330万,66.15㎡,"桂莘小区
康健 桂平路350弄"
37104元,366万,98.64㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
40262元,399万,99.1㎡,"金桂苑
康健 虹漕南路99弄"
42738元,555万,129.86㎡,"金桂苑
康健 虹漕南路99弄"
39882元,190万,47.64㎡,"寿德坊
康健 桂林西街400弄"
62043元,850万,137㎡,"康沁苑
康健 冠生园路403弄1-12号"
39885元,265万,66.44㎡,"杜鹃园
康健 钦州南路917弄"
39928元,355万,88.91㎡,"桂莘小区
康健 桂平路350弄"
53310元,368万,69.03㎡,"桂莘小区
康健 桂平路350弄"
50133元,1499万,299㎡,"中星海上华庭
康健 虹漕南路699弄"
46490元,359万,77.22㎡,"桂莘小区
康健 桂平路350弄"
39953元,205万,51.31㎡,"寿德坊
康健 桂林西街400弄"
46038元,333万,72.33㎡,"杜鹃园
康健 钦州南路917弄"
57471元,200万,34.8㎡,"寿祥坊
康健 桂林西街111弄"
62708元,338万,53.9㎡,"康强坊
康健 康强坊"
87562元,880万,100.5㎡,"漕河景苑
康健 康健路58弄"
130789元,1299万,99.32㎡,"徐汇天悦
康健 虹漕南路128弄"
49251元,339万,68.83㎡,"长虹坊
康健 桂林西街11弄"
55564元,330万,59.39㎡,"茶花园
康健 浦北路959弄31-82号"
69530元,416万,59.83㎡,"康强坊
康健 康强坊"
82220元,930万,113.11㎡,"中海馨园
康健 钦州南路8弄1-25号"
78191元,1100万,140.68㎡,"中星海上华庭
康健 虹漕南路699弄"
86317元,1880万,卧室：5个,"桂梅别墅
康健 桂平路251弄、桂平路250弄"
48068元,270万,56.17㎡,"长丰坊
康健 桂林西街47弄"
52194元,270万,51.73㎡,"迎春园
康健 虹漕南路718弄"
55066元,275万,49.94㎡,"花苑村紫竹园
康健 浦北路948弄"
55866元,299万,53.52㎡,"寿昌坊
康健 桂林西街151弄"
40829元,185万,45.31㎡,"长兴坊
康健 桂林西街15弄"
135501元,1350万,99.63㎡,"徐汇天悦
康健 虹漕南路128弄"
46607元,215万,46.13㎡,"长兴坊
康健 桂林西街15弄"
62121元,369万,59.4㎡,"寿益坊
康健 桂林西街85弄1-71号"
46064元,285万,61.87㎡,"长兴坊
康健 桂林西街15弄"
63953元,495万,77.4㎡,"茶花园
康健 浦北路959弄31-82号"
54826元,305万,55.63㎡,"长丰坊
康健 桂林西街47弄"
60246元,488万,81㎡,"杜鹃园
康健 钦州南路917弄"
57894元,550万,95㎡,"金桂苑
康健 虹漕南路99弄"
43636元,240万,55㎡,"长丰坊
康健 桂林西街47弄"
59789元,666万,111.39㎡,"梓树园
康健 钦州路108号"
103669元,630万,60.77㎡,"海上名邸
康健 桂林东街28弄"
52699元,450万,85.39㎡,"长兴坊
康健 桂林西街15弄"
68268元,679万,99.46㎡,"金桂苑
康健 虹漕南路99弄"
74723元,750万,100.37㎡,"市委党校家属区
康健 虹漕南路300弄"
79511元,1120万,140.86㎡,"中星海上华庭
康健 虹漕南路699弄"
81013元,1100万,135.78㎡,"中海馨园
康健 钦州南路8弄1-25号"
72815元,375万,51.5㎡,"健安坊
康健 桂林东街150弄"
68859元,335万,48.65㎡,"师大新村
康健 师大新村"
58252元,480万,82.4㎡,"寿祥坊
康健 桂林西街111弄"
60404元,299万,49.5㎡,"长顺坊
康健 桂林西街14弄"
106614元,1470万,137.88㎡,"海上名门
康健 柳州路181弄"
66274元,338万,51㎡,"健安坊
康健 桂林东街150弄"
82104元,980万,119.36㎡,"上海师大科技园
康健 桂林路70弄91-111号"
65266元,550万,84.27㎡,"桂莘小区
康健 桂平路350弄"
46969元,310万,66㎡,"寿益坊
康健 桂林西街85弄1-71号"
64375元,339万,52.66㎡,"寿祥坊
康健 桂林西街111弄"
60498元,291万,48.1㎡,"健安坊
康健 桂林东街150弄"
50262元,325万,64.66㎡,"月季园
康健 桂平路67弄"
85339元,638万,74.76㎡,"上海师大科技园
康健 桂林路70弄91-111号"
51498元,385万,74.76㎡,"师大新村
康健 师大新村"
53824元,330万,61.31㎡,"寿德坊
康健 桂林西街400弄"
53000元,280万,52.83㎡,"长丰坊
康健 桂林西街47弄"
61538元,240万,39㎡,"寿昌坊
康健 桂林西街151弄"
56982元,375万,65.81㎡,"欣园新村
康健 桂平路257弄"
53201元,236万,44.36㎡,"寿祥坊
康健 桂林西街111弄"
53445元,650万,121.62㎡,"迎春园
康健 虹漕南路718弄"
51038元,295万,57.8㎡,"东兰小区
康健 东兰小区"
91824元,1660万,180.78㎡,"海上名门
康健 柳州路181弄"
72568元,1100万,151.58㎡,"中海馨园
康健 钦州南路8弄1-25号"
43931元,198万,45.07㎡,"西樱花园
康健 桂平支路35弄"
57478元,490万,85.25㎡,"桂平小区
康健 桂平小区"
59740元,460万,77㎡,"万象园
康健 虹漕南路杨家桥61-99号、虹漕南路158弄"
63966元,889万,138.98㎡,"徐汇公寓
康健 沪闵路9260弄"
53776元,220万,40.91㎡,"师大新村
康健 师大新村"
46263元,382万,82.57㎡,"月季园
康健 桂平路67弄"
61815元,395万,63.9㎡,"杜鹃园
康健 钦州南路917弄"
56891元,220万,38.67㎡,"科苑新村
康健 科苑新村1-43号"
62336元,620万,99.46㎡,"金桂苑
康健 虹漕南路99弄"
56624元,365万,64.46㎡,"月季园
康健 桂平路67弄"
62578元,350万,55.93㎡,"长海坊
康健 桂林西街9弄"
72322元,520万,71.9㎡,"科苑新村
康健 科苑新村1-43号"
62578元,350万,55.93㎡,"长海坊
康健 桂林西街9弄"
58181元,400万,68.75㎡,"长兴坊
康健 桂林西街15弄"
72568元,1100万,151.58㎡,"中海馨园
康健 钦州南路8弄1-25号"
58653元,305万,52㎡,"花苑村丁香园
康健 百花街345弄"
65266元,550万,84.27㎡,"桂莘小区
康健 桂平路350弄"
57500元,345万,60㎡,"月季园
康健 桂平路67弄"
49133元,190万,38.67㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
134343元,1330万,99㎡,"徐汇天悦
康健 虹漕南路128弄"
56891元,220万,38.67㎡,"科苑新村
康健 科苑新村1-43号"
99301元,1080万,108.76㎡,"海上名邸
康健 桂林东街28弄"
52194元,270万,51.73㎡,"迎春园
康健 虹漕南路718弄"
94526元,1050万,111.08㎡,"中海馨园
康健 钦州南路8弄1-25号"
51724元,285万,55.1㎡,"寿祥坊
康健 桂林西街111弄"
132490元,1320万,99.63㎡,"徐汇天悦
康健 虹漕南路128弄"
54552元,284万,52.06㎡,"薛家宅小区
康健 冠生园路230弄"
46064元,285万,61.87㎡,"长兴坊
康健 桂林西街15弄"
62121元,369万,59.4㎡,"寿益坊
康健 桂林西街85弄1-71号"
53000元,280万,52.83㎡,"长丰坊
康健 桂林西街47弄"
115859元,1540万,132.92㎡,"海上名邸
康健 桂林东街28弄"
100082元,1450万,144.88㎡,"海上名邸
康健 桂林东街28弄"
74473元,905万,121.52㎡,"中海馨园
康健 钦州南路8弄1-25号"
81570元,860万,105.43㎡,"海上名邸
康健 桂林东街28弄"
61538元,240万,39㎡,"寿昌坊
康健 桂林西街151弄"
59677元,255万,42.73㎡,"长兴坊
康健 桂林西街15弄"
51498元,385万,74.76㎡,"师大新村
康健 师大新村"
109670元,1100万,100.3㎡,"徐汇天悦
康健 虹漕南路128弄"
59572元,248万,41.63㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
79511元,1120万,140.86㎡,"中星海上华庭
康健 虹漕南路699弄"
69530元,416万,59.83㎡,"康强坊
康健 康强坊"
99102元,2450万,247.22㎡,"中海馨园
康健 钦州南路8弄1-25号"
65005元,360万,55.38㎡,"寿祥坊
康健 桂林西街111弄"
90193元,699万,77.5㎡,"师大新村
康健 师大新村"
67391元,750万,111.29㎡,"梓树园
康健 钦州路108号"
54819元,298万,54.36㎡,"习勤小区
康健 康健路105弄"
88409元,1450万,164.01㎡,"中星海上华庭
康健 虹漕南路699弄"
57478元,490万,85.25㎡,"桂平小区
康健 桂平小区"
56153元,438万,78㎡,"花苑村桂花园
康健 江安路桂花园58弄"
62708元,338万,53.9㎡,"康强坊
康健 康强坊"
68555元,225万,32.82㎡,"冠生园路237弄小区
康健 冠生园路237弄"
50262元,325万,64.66㎡,"月季园
康健 桂平路67弄"
59988元,300万,50.01㎡,"长青坊
康健 桂林西街30弄"
80169元,1100万,137.21㎡,"中星海上华庭
康健 虹漕南路699弄"
52131元,318万,61㎡,"长丰坊
康健 桂林西街47弄"
86317元,1880万,卧室：5个,"桂梅别墅
康健 桂平路251弄、桂平路250弄"
60656元,325万,53.58㎡,"寿昌坊
康健 桂林西街151弄"
71707元,588万,82㎡,"上海师大科技园
康健 桂林路70弄91-111号"
51038元,295万,57.8㎡,"东兰小区
康健 东兰小区"
100485元,1180万,117.43㎡,"中海馨园
康健 钦州南路8弄1-25号"
54744元,375万,68.5㎡,"杜鹃园
康健 钦州南路917弄"
71705元,500万,69.73㎡,"师大新村
康健 师大新村"
57955元,220万,37.96㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
55066元,275万,49.94㎡,"花苑村紫竹园
康健 浦北路948弄"
55096元,220万,39.93㎡,"康乐小区(徐汇)
康健 康乐小区(徐汇)"
43658元,295万,67.57㎡,"桂平小区
康健 桂平小区"
59232元,400万,67.53㎡,"桂平小区
康健 桂平小区"
52409元,348万,66.4㎡,"寿益坊
康健 桂林西街85弄1-71号"
