rent,m2,location
5500元/月,55㎡,徐汇-康健-寿祥坊
3700元/月,42㎡,徐汇-康健-茶花园
8000元/月,110㎡,徐汇-康健-中星海上华庭
16000元/月,140㎡,徐汇-康健-海上名邸
18000元/月,172㎡,徐汇-康健-海上名邸
14500元/月,97㎡,徐汇-康健-汇樾庭
17500元/月,166㎡,徐汇-康健-海上名邸
8300元/月,90㎡,徐汇-康健-紫荆园
15000元/月,99㎡,徐汇-康健-汇樾庭
1530元/月,144㎡,徐汇-康健-海上名门
4100元/月,43㎡,徐汇-康健-康乐小区(徐汇)
11000元/月,101㎡,徐汇-康健-海上名门
9200元/月,102㎡,徐汇-康健-师大新村
5600元/月,65㎡,徐汇-康健-花苑村玉兰园
10300元/月,93㎡,徐汇-康健-中星海上华庭
12000元/月,137㎡,徐汇-康健-中星海上华庭
12000元/月,101㎡,徐汇-康健-汇樾庭
9900元/月,106㎡,徐汇-康健-海上名门
9500元/月,99㎡,徐汇-康健-漕河景苑
11000元/月,135㎡,徐汇-康健-中海馨园
4500元/月,53㎡,徐汇-康健-长丰坊
5500元/月,63㎡,徐汇-康健-桂平小区
3700元/月,40㎡,徐汇-康健-寿山坊
12200元/月,99㎡,徐汇-康健-汇樾庭
11300元/月,117㎡,徐汇-康健-中海馨园
7000元/月,99㎡,徐汇-康健-花苑村紫薇园
10500元/月,102㎡,徐汇-康健-海上名门
5100元/月,75㎡,徐汇-康健-月季园
4300元/月,55㎡,徐汇-康健-寿祥坊
5300元/月,68㎡,徐汇-康健-长虹坊
5500元/月,66㎡,徐汇-康健-寿益坊
4800元/月,52㎡,徐汇-康健-寿昌坊
8000元/月,99㎡,徐汇-康健-金桂苑
15000元/月,135㎡,徐汇-康健-中星虹漕公寓
7900元/月,125㎡,徐汇-康健-迎春园
9800元/月,125㎡,徐汇-康健-迎春园
5800元/月,56㎡,徐汇-康健-师大新村
4300元/月,66㎡,徐汇-康健-康乐小区(徐汇)
4300元/月,43㎡,徐汇-康健-寿昌坊
4300元/月,46㎡,徐汇-康健-九弄小区
7500元/月,84㎡,徐汇-康健-花苑村月季园
3300元/月,42㎡,徐汇-康健-寿山坊
5200元/月,48㎡,徐汇-康健-花苑村东樱花园
6000元/月,59㎡,徐汇-康健-长顺坊
1800元/月,21㎡,徐汇-康健-师大新村
4000元/月,64㎡,徐汇-康健-西樱花园
15000元/月,101㎡,徐汇-康健-汇樾庭
3500元/月,39㎡,徐汇-康健-长青坊
6800元/月,76㎡,徐汇-康健-紫薇园(徐汇)
5000元/月,66㎡,徐汇-康健-康宁坊
14500元/月,145㎡,徐汇-康健-海上名门
5000元/月,48㎡,徐汇-康健-康健路341弄小区
4500元/月,39㎡,徐汇-康健-师大新村
6000元/月,69㎡,徐汇-康健-师大新村
5400元/月,63㎡,徐汇-康健-师大新村
12000元/月,100㎡,徐汇-康健-汇樾庭
6200元/月,67㎡,徐汇-康健-冠生园路237弄小区
5400元/月,63㎡,徐汇-康健-师大新村
6400元/月,70㎡,徐汇-康健-桂莘小区
9000元/月,95㎡,徐汇-康健-汇樾庭
4000元/月,42㎡,徐汇-康健-薛家宅小区
3800元/月,46㎡,徐汇-康健-康乐小区(徐汇)
5000元/月,66㎡,徐汇-康健-康宁坊
4000元/月,33㎡,徐汇-康健-长青坊
4100元/月,41㎡,徐汇-康健-花苑村丁香园
5500元/月,64㎡,徐汇-康健-西樱花园
8500元/月,142㎡,徐汇-康健-花苑村梅花园
5000元/月,75㎡,徐汇-康健-西樱花园
8800元/月,121㎡,徐汇-康健-迎春园
6500元/月,69㎡,徐汇-康健-师大新村
2700元/月,37㎡,徐汇-康健-古美小区
6000元/月,69㎡,徐汇-康健-师大新村
4200元/月,51㎡,徐汇-康健-康乐小区(徐汇)
15000元/月,135㎡,徐汇-康健-中星虹漕公寓
6000元/月,54㎡,徐汇-康健-上海师大科技园
4900元/月,62㎡,徐汇-康健-健安坊
13500元/月,134㎡,徐汇-康健-金桂苑
4500元/月,40㎡,徐汇-康健-康乐小区(徐汇)
4500元/月,57㎡,徐汇-康健-康乐小区(徐汇)
5000元/月,58㎡,徐汇-康健-长青坊
9500元/月,100㎡,徐汇-康健-汇樾庭
3700元/月,44㎡,徐汇-康健-寿昌坊
2900元/月,44㎡,徐汇-康健-东兰小区
10000元/月,126㎡,徐汇-康健-金桂苑
5500元/月,61㎡,徐汇-康健-长兴坊
